673,Wislawa,Szymborska,7/2/1923,2/1/2012,Poland,PL,Bnin (now K�rnik),Poland,PL,Krak�w,female,1996,literature , , 1,"for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality" , , ,
79,Maria,Goeppert Mayer,6/28/1906,2/20/1972,Germany (now Poland),PL,Kattowitz (now Katowice),USA,US,"San Diego CA",female,1963,physics , , 4,"for their discoveries concerning nuclear shell structure",University of California,"La Jolla CA",USA
6,Marie,"Curie n_e Sklodowska",11/07/1867,7/4/1934,Russian Empire (now Poland),PL,Warsaw,France,FR,Sallanches,female,1911,chemistry , , 1,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element",Sorbonne University,Paris,France
6,Marie,"Curie n_e Sklodowska",11/07/1867,7/4/1934,Russian Empire (now Poland),PL,Warsaw,France,FR,Sallanches,female,1903,physics , , 4,"in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel" , , ,
575,Henryk,Sienkiewicz,05/05/1846,11/15/2016,Poland,PL,Wola Okrzejska,Switzerland,CH,Vevey,male,1905,literature , , 1,"because of his outstanding merits as an epic writer" , , ,
48,Otto,Stern,02/17/1888,8/17/1969,Germany (now Poland),PL,Sorau (now Zory),USA,US,"Berkeley CA",male,1943,physics , , 1,"for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton",Carnegie Institute of Technology,"Pittsburgh PA",USA
61,Max,Born,12/11/1882,1/5/1970,Germany (now Poland),PL,Breslau (now Wroclaw),West Germany (now Germany),DE,G_ttingen,male,1954,physics , , 2,"for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction",Edinburgh University,Edinburgh,United Kingdom
594,Wladyslaw Stanislaw,Reymont,05/07/1867,12/5/2025,Russian Empire (now Poland),PL,Kobiele Wielkie,Poland,PL,Warsaw,male,1924,literature , , 1,"for his great national epic <I>The Peasants</I>" , , ,
654,Isaac Bashevis,Singer,7/14/1904,7/24/1991,Russian Empire (now Poland),PL,Leoncin,USA,US,"Surfside FL",male,1978,literature , , 1,"for his impassioned narrative art which with roots in a Polish-Jewish cultural tradition brings universal human conditions to life" , , ,
142,Georges,Charpak,8/1/1924,9/29/2010,Poland,PL,Dabrovica,France,FR,Paris,male,1992,physics , , 1,"for his invention and development of particle detectors in particular the multiwire proportional chamber",CERN,Geneva,Switzerland
142,Georges,Charpak,8/1/1924,9/29/2010,Poland,PL,Dabrovica,France,FR,Paris,male,1992,physics , , 1,"for his invention and development of particle detectors in particular the multiwire proportional chamber",�cole Sup_rieure de Physique et Chimie,Paris,France
11,Albert Abraham,Michelson,12/19/1852,5/9/1931,Prussia (now Poland),PL,Strelno (now Strzelno),USA,US,"Pasadena CA",male,1907,physics , , 1,"for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid",University of Chicago,"Chicago IL",USA
49,Isidor Isaac,Rabi,07/29/1898,1/11/1988,Austria-Hungary (now Poland),PL,Rymanow,USA,US,"New York NY",male,1944,physics , , 1,"for his resonance method for recording the magnetic properties of atomic nuclei",Columbia University,"New York NY",USA
